MATURITY_DATE,USD_AMOUNT
2022-07-27,7207679.339512999
2022-07-27,438078.20809999993
2022-07-27,356474069.29
2022-07-27,360000.0
2022-07-27,491724.87
2022-07-27,"-4,000,000.00"
2022-07-27,93127679.50199999
2022-07-27,1167254261782.998
2022-07-27,-113861671.04762763
2022-07-27,249875.93
2022-07-27,193540.21
2022-07-27,10780.0
2022-07-27,1000000.0
2022-07-27,134941.76
2022-07-27,93107.0
2022-07-27,785172.130332
2022-07-27,54489.34
2022-07-27,16820.07
2022-07-27,54062.0
2022-07-27,1500000.0
2022-07-27,16752.0
2022-07-27,1908.38
2022-07-27,
2022-07-27,12117.17
2022-07-27,507541.1
2022-07-27,
2022-07-27,166377.75
2022-07-27,10500.0
2022-07-27,2983.8666
2022-07-27,115216.22
2022-07-27,3463.11
2022-07-27,173490.94
2022-07-27,2478250.0
2022-07-27,147299.14
2022-07-27,89568.74
2022-07-27,506549.37
2022-07-27,4101499.41
2022-07-27,175440.0
2022-07-27,81758.82
2022-07-27,132600.0
2022-07-27,233875.72
2022-07-27,9226.08
2022-07-27,130392.53
2022-07-27,53395.5
2022-07-27,76100.0
2022-07-27,4548.73
2022-07-27,79254.41
2022-07-27,97520.05
2022-07-27,68705.13
2022-07-27,39303.04
2022-07-27,48170.0
2022-07-27,149014.64
2022-07-27,154495.94
2022-07-27,
2022-07-27,159846.0
2022-07-27,67979.14
2022-07-27,81576.88
2022-07-27,61340.0
2022-07-27,37002.59
2022-07-27,16272.75
2022-07-27,46163.25
2022-07-27,38328.71
2022-07-27,187580.25
2022-07-27,58810.39
2022-07-27,157193.66
2022-07-27,54347.35
2022-07-27,2558514.22
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,"-14,600,000.00"
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,"-4,000,000.00"
2022-07-27,176206.59
2022-07-27,54347.35
2022-07-27,81180.0
2022-07-27,70528.89
2022-07-27,102344.0
2022-07-27,6246.3891
2022-07-27,
2022-07-27,12497.77
2022-07-27,41985.0
2022-07-27,71355.0
2022-07-27,57150.0
2022-07-27,55894.05
2022-07-27,36180.0
2022-07-27,133500.0
2022-07-27,186428.25
2022-07-27,166338.0
2022-07-27,149020.0
2022-07-27,30000.0
2022-07-27,58910.0
2022-07-27,403891.2
2022-07-27,38023.75
2022-07-27,515818.3
2022-07-27,19314.22
2022-07-27,96809.78
2022-07-28,6674247.17
2022-07-28,73350.0
2022-07-28,248861.75
2022-07-28,138857.05
2022-07-29,255150.0
2022-07-29,55322.12
2022-07-29,14243.91
2022-07-29,75266.33
2022-07-29,"-24,935,560.13"
2022-08-01,"15,000,000.00"
2022-08-01,-231677496.41735122
2022-08-02,"-1,500,000.00"
2022-08-02,"15,000,000.00"
2022-08-02,60800.0
2022-08-03,3413688.87
2022-08-03,-25342534.518887915
2022-08-03,21517.19
2022-08-04,76100.0
2022-08-04,143280.0
2022-08-04,359521.35
2022-08-04,400330.46
2022-08-04,415800.0
2022-08-04,84046.63
2022-08-05,213912.82
2022-08-05,6085.27
2022-08-05,401123.43
2022-08-05,107480.0
2022-08-05,151140.0
2022-08-05,20000000.0
2022-08-08,309400.0
2022-08-09,71100.0
2022-08-09,81924.08
2022-08-09,156125.92
2022-08-09,87061.7
2022-08-10,-74949197.83245575
2022-08-10,328507.24
2022-08-10,16069.0
2022-08-10,36270.0
2022-08-10,89280.0
2022-08-10,89280.0
2022-08-11,"-26,907,873.29"
2022-08-11,165838.26
2022-08-11,66921.0
2022-08-12,1855923.36
2022-08-12,168249.6
2022-08-12,1755728.0
2022-08-12,1742112.0
2022-08-12,1683471.2
2022-08-12,365985.57
2022-08-12,72578.4
2022-08-12,317129.04
2022-08-12,421784.61
2022-08-12,819259.3
2022-08-15,"-26,721,794.49"
2022-08-15,48170.0
2022-08-15,82009.85
2022-08-15,282816.0
2022-08-15,141093.91
2022-08-15,282816.0
2022-08-15,13352.44
2022-08-15,390390.0
2022-08-15,430976.0
2022-08-15,430976.0
2022-08-15,267136.38
2022-08-17,317712.89
2022-08-17,683574.54
2022-08-17,1271167.83
2022-08-17,151880.45
2022-08-17,142953.69
2022-08-17,1266215.83
2022-08-17,545888.37
2022-08-17,527475.56
2022-08-17,381830.04
2022-08-18,346367.26
2022-08-18,471500.0
2022-08-18,416470.28
2022-08-18,120800.0
2022-08-18,37022.93
2022-08-18,1200107.71
2022-08-22,1279184.64
2022-08-22,829810.8
2022-08-22,"23,000,000.00"
2022-08-22,"-21,402,772.09"
2022-08-23,172852.06
2022-08-23,348277.59
2022-08-23,46775.73
2022-08-23,106250.0
2022-08-23,40555.0
2022-08-23,446825.45
2022-08-23,153864.0
2022-08-23,353780.0
2022-08-23,58515.42
2022-08-24,150200.97
2022-08-24,70097.42
2022-08-24,528840.0
2022-08-24,127750.0
2022-08-25,-0.0
2022-08-25,80209.78
2022-08-25,70185.86
2022-08-25,868056.32
2022-08-25,84500.0
2022-08-25,416145.6
2022-08-25,-124645728.28970759
2022-08-25,76917.5
2022-08-26,83839.85
2022-08-26,79200.0
2022-08-26,40142.62
2022-08-26,40897.17
2022-08-26,232667.94
2022-08-26,3235961.64
2022-08-26,60100.0
2022-08-26,85621.52
2022-08-26,49312.52
2022-08-26,144425.16
2022-08-26,122457.8
2022-08-26,59600.0
2022-08-29,65721.0
2022-08-29,110575.91
2022-08-29,92500.0
2022-08-30,45322.31
2022-08-31,138603.87
2022-08-31,2029000.0
2022-09-02,97707.0
2022-09-02,"50,000,000.00"
2022-09-06,"10,000,000.00"
2022-09-06,50000000.0
2022-09-06,1042698.0
2022-09-06,1675431.99
2022-09-06,211900.0
2022-09-06,214720.0
2022-09-06,1228675.4
2022-09-06,899596.25
2022-09-06,187880.8
2022-09-06,1304663.99
2022-09-06,278757.0
2022-09-06,471000.0
2022-09-06,201900.0
2022-09-06,238000.0
2022-09-08,64226.0
2022-09-08,408971.06
2022-09-08,21448.0
2022-09-08,605538.39
2022-09-09,135558.5
2022-09-09,325000.0
2022-09-12,44500.0
2022-09-12,45710.0
2022-09-12,476504.73
2022-09-12,97895.12
2022-09-12,328320.0
2022-09-13,"20,000,000.00"
2022-09-13,84660.0
2022-09-13,73022.5
2022-09-13,84660.0
2022-09-13,84660.0
2022-09-14,27223000.0
2022-09-14,130196.75
2022-09-15,111049.14
2022-09-16,234000.0
2022-09-16,5340967.88279
2022-09-16,
2022-09-16,
2022-09-16,672000.0
2022-09-16,2156000.0
2022-09-16,127750.0
2022-09-16,2130520.0
2022-09-16,11750000.0
2022-09-16,425563.82
2022-09-19,"30,000,000.00"
2022-09-19,"8,000,000.00"
2022-09-19,10054592.84
2022-09-19,793702.8
2022-09-19,254330.0
2022-09-20,2849.25
2022-09-20,53441.09
2022-09-20,500000.0
2022-09-20,158008.0
2022-09-20,291339.64
2022-09-20,213043.62
2022-09-20,11345.44
2022-09-20,214720.0
2022-09-20,278757.0
2022-09-21,167037.95
2022-09-21,85116.06
2022-09-23,597813.68
2022-09-23,152851.2
2022-09-26,192773.66
2022-09-26,231517.0
2022-09-26,"7,500,000.00"
2022-09-26,50000000.0
2022-09-27,965748.43
2022-09-27,722304.0
2022-09-27,42760.0
2022-09-27,"100,000,000.00"
2022-09-27,396000.0
2022-09-28,9517.17
2022-09-28,4930200.0
2022-09-28,117600.0
2022-09-29,990138.85
2022-09-29,26016.05
2022-09-29,125460.0
2022-09-29,99450.0
2022-09-29,99450.0
2022-09-29,2628.42
2022-09-29,766043.31
2022-10-03,627900.0
2022-10-03,514663.0
2022-10-04,202675.0
2022-10-04,172650.0
2022-10-05,204015.0
2022-10-06,106408.16
2022-10-07,139480.0
2022-10-07,16139.08
2022-10-07,12046.27
2022-10-07,121480.0
2022-10-10,35000.0
2022-10-10,135429.69
2022-10-10,123882.0
2022-10-10,32404.5
2022-10-11,50916.97
2022-10-11,153000.0
2022-10-12,146641.98
2022-10-14,3666.75
2022-10-17,13567.56
2022-10-17,39140.47
2022-10-17,29711.43
2022-10-17,58290.0
2022-10-17,46096.0
2022-10-17,637754.54
2022-10-18,104327.19
2022-10-20,66238.32
2022-10-21,9661.43
2022-10-24,-53560817.63566382
2022-10-24,235158.67
2022-10-27,488710.4
2022-10-27,483238.4
2022-10-28,46310.47
2022-10-31,56693.94
2022-10-31,156125.7
2022-11-02,632016.0
2022-11-07,"100,000,000.00"
2022-11-10,128700.0
2022-11-10,83695.0
2022-11-10,10258875.0
2022-11-10,38204.64
2022-11-10,187749.85
2022-11-10,210774.0
2022-11-10,116229.86
2022-11-15,37617.0
2022-11-15,"25,000,000.00"
2022-11-15,127975.0
2022-11-15,461977.84
2022-11-15,93029.0
2022-11-16,1000000.0
2022-11-18,210375.0
2022-11-18,261040.0
2022-11-18,115360.0
2022-11-18,210375.0
2022-11-18,693715.0
2022-11-18,152412.32
2022-11-18,219140.39
2022-11-21,2875981.06
2022-11-21,236241.02
2022-11-21,94880.0
2022-11-21,"13,000,000.00"
2022-11-21,1078000.0
2022-11-22,518841.48
2022-11-23,2000000.0
2022-11-23,"16,700,000.00"
2022-11-25,1040000.0
2022-11-25,2480000.0
2022-11-28,"7,000,000.00"
2022-11-28,81750.0
2022-11-30,"70,000,000.00"
2022-11-30,"30,000,000.00"
2022-12-05,97412.28
2022-12-05,237623.54
2022-12-05,"8,000,000.00"
2022-12-05,"12,000,000.00"
2022-12-06,2840000.0
2022-12-06,385437.17
2022-12-12,148024.21
2022-12-12,161370.0
2022-12-13,44404.0
2022-12-13,434059.86
2022-12-14,326119.55
2022-12-16,383319.83
2022-12-19,117911.48
2022-12-19,345479.01
2022-12-19,72330.0
2022-12-27,410160.0
2022-12-30,"-488,530.00"
2023-01-10,"5,000,000.00"
2023-01-16,"7,500,000.00"
2023-01-22,-0.0
2023-07-26,-0.0
2024-06-23,487948.08
2024-06-23,615011.84
2024-07-25,-274633991.0983031
2024-09-16,3900795.52
2024-09-16,440133.16
2024-09-16,1634373.9
2024-12-17,887517.98
2024-12-17,1310950.28
2024-12-17,1056961.29
2025-10-27,"585,000.00"
2025-10-27,"500,000.00"
2025-10-27,"235,000.00"
2026-02-16,"1,000,000.00"
2026-02-16,"481,000.00"
2026-02-16,"250,000.00"
2026-02-16,"4,000,000.00"
2026-02-16,"269,000.00"
2026-02-16,"1,000,000.00"
2026-02-16,"3,000,000.00"
2026-09-21,"2,500,000.00"
2026-09-21,"2,000,000.00"
2026-09-21,"1,000,000.00"
2026-09-21,"2,500,000.00"
2026-09-21,"5,000,000.00"
2026-09-21,"5,000,000.00"
2026-09-21,"2,000,000.00"
2026-09-21,"500,000.00"
2026-09-21,"4,500,000.00"
2026-11-19,"50,000,000.00"
2027-02-11,"2,000,000.00"
2027-02-11,"3,000,000.00"
2027-02-11,"2,000,000.00"
2027-02-11,"3,000,000.00"
2027-02-11,"1,000,000.00"
2027-02-11,"4,000,000.00"
2027-02-11,"3,000,000.00"
2027-02-11,"3,000,000.00"
2027-02-11,"2,000,000.00"
2027-02-11,"3,000,000.00"
2027-02-11,"4,000,000.00"
2028-09-28,"3,000,000.00"
2028-09-28,"2,000,000.00"
2028-09-28,"12,000,000.00"
2028-09-28,"5,500,000.00"
