ACCOUNT_NO.,ACCOUNT_NAME,SCHEME_TYPE,CLS_BALANCE,AMOUNT,INT_RATE,ACCT_OPEN_DATE  OPEN_EFFECTIVE_DATE,MATURITY_DATE,CRNCY,USD_AMOUNT
50010010002950,FBNQUEST MERCHANT BANK LIMITED,ODA,"20,631.18",-20631.18,0,2/14/2019,2022-07-14,USD,-20631.18
50010010003599,GLOBUS BANK LIMITED,ODA,"859,609.49",-859609.49,0.01,1/29/2020,2022-07-14,USD,-859609.49
50010010003759,MKOMBOZI COMMERCIAL BANK LIMIT,ODA,"1,168,723.52",-1168723.52,0.01,3/12/2020,2022-07-14,USD,-1168723.52
50010010003766,MKOMBOZI COMMERCIAL BANK LIMIT,ODA,"46,317.89",-46317.89,0.3,3/12/2020,2022-07-14,EUR,-46104.827706
50010010003773,MKOMBOZI COMMERCIAL BANK LIMIT,ODA,"8,599.30",-8599.3,0.3,3/12/2020,2022-07-14,GBP,-7229.431509999999
50010010003933,SIDIAN BANK LIMITED,ODA,974.1,-974.1,0.01,6/11/2020,2022-07-14,USD,-974.1
50010010004220,GLOBUS BANK LOAN SETTLEMENT AC,ODA,"119,116.77",-119116.77,0,11/4/2020,2022-07-14,USD,-119116.77
50010010004268,SOLIDAIRE BANK,ODA,"53,904.48",-53904.48,0.01,12/9/2020,2022-07-14,USD,-53904.48
50010010004275,SOLIDAIRE BANK,ODA,"10,000.00",-10000.0,0.3,12/9/2020,2022-07-14,EUR,-9954.0
50010010004282,BANK OF INDUSTRY LIMITED,ODA,"4,033,197.61",-4033197.61,0.01,12/18/2020,2022-07-14,USD,-4033197.61
50010010004312,GREENWICH MERCHANT BANK LIMITE,ODA,"852,648.52",-852648.52,0.01,1/13/2021,2022-07-14,USD,-852648.52
50010010004343,GLOBUS BANK LIMITED EXPORT PRO,ODA,"1,376,625.27",-1376625.27,0.01,2/3/2021,2022-07-14,USD,-1376625.27
50010010004404,UNITED BANK FOR AFRICA (UBA) L,ODA,18.84,-18.84,0.01,3/4/2021,2022-07-14,USD,-18.84
50010010004411,CREDIT BANK KENYA PLC,ODA,"21,173.05",-21173.05,0.01,3/9/2021,2022-07-14,USD,-21173.05
50010010004428,CREDIT BANK KENYA PLC,ODA,"19,947.00",-19947.0,0.3,3/9/2021,2022-07-14,EUR,-19855.2438
50010010004435,CREDIT BANK KENYA PLC,ODA,"15,236.00",-15236.0,0.3,3/9/2021,2022-07-14,GBP,-12808.9052
50010010004442,MYBUCKS BANKING CORPORATION- U,ODA,"6,326.54",-6326.54,0.01,3/10/2021,2022-07-14,USD,-6326.54
50010010004459,FBNQUEST MERCHANT BANK LIMITED,ODA,"683,975.27",-683975.27,0.01,3/17/2021,2022-07-14,USD,-683975.27
50010010004473,ZAMBIA INDUSTRIAL WIRE CLEARIN,ODA,"634,805.13",-634805.13,0.01,3/24/2021,2022-07-14,USD,-634805.13
50010010004497,COMMERCE AND MORTGAGE BANK (SL,ODA,"530,769.06",-530769.06,0.01,5/3/2021,2022-07-14,USD,-530769.06
50010010004503,COMPAGNIE GENERALE DE BANQUE P,ODA,"26,906.50",-26906.5,0.01,5/3/2021,2022-07-14,USD,-26906.5
50010010004527,COMPAGNIE GENERALE DE BANQUE P,ODA,"1,207.77",-1207.77,0.3,5/3/2021,2022-07-14,GBP,-1015.372239
50010010004534,ACCESS BANK (SL) LIMITED,ODA,"320,272.72",-320272.72,0.01,5/4/2021,2022-07-14,USD,-320272.72
50010010004541,ACCESS BANK (SL) LIMITED,ODA,"469,425.88",-469425.88,0.3,5/4/2021,2022-07-14,EUR,-467266.520952
50010010004558,ACCESS BANK (SL) LIMITED,ODA,"57,568.41",-57568.41,0.3,5/4/2021,2022-07-14,GBP,-48397.762287000005
50010010004602,UNION BANK LOAN SETTLEMENT ACC,ODA,"36,724.06",-36724.06,0.01,5/21/2021,2022-07-14,USD,-36724.06
50010010004619,SKYE BANK (SL) LIMITED,ODA,"5,513,683.06",-5513683.06,0.01,6/1/2021,2022-07-14,USD,-5513683.06
50010010004626,SKYE BANK (SL) LIMITED,ODA,"7,807.63",-7807.63,0.3,6/1/2021,2022-07-14,EUR,-7771.714902
50010010004640,SKYE BANK (SL) LIMITED MASTERC,ODA,"99,282.91",-99282.91,0.01,6/8/2021,2022-07-14,USD,-99282.91
50010010004657,CONSOLIDATED BANK GHANA LIMITE,ODA,"221,568.18",-221568.18,0.05,6/22/2021,2022-07-14,USD,-221568.18
50010010004671,CONSOLIDATED BANK GHANA LIMITE,ODA,"100,000.00",-100000.0,0.3,6/22/2021,2022-07-14,GBP,-84070.0
50010010004695,DCB COMMERCIAL BANK,ODA,"69,195.30",-69195.3,0.01,7/1/2021,2022-07-14,USD,-69195.3
50010010004718,CONSOLIDATED BANK GHANA LIMITE,ODA,"996,562.32",-996562.32,0.01,7/8/2021,2022-07-14,USD,-996562.32
50010010004725,AMANA BANK TANZANIA,ODA,"145,067.79",-145067.79,0.01,7/19/2021,2022-07-14,USD,-145067.79
50010010004732,AMANA BANK TANZANIA,ODA,"600,000.00",-600000.0,0.3,7/19/2021,2022-07-14,EUR,-597240.0
50010010004756,ORABANK MALI,ODA,"113,836.91",-113836.91,0.01,8/5/2021,2022-07-14,USD,-113836.91
50010010004763,OMNIBSIC BANK GHANA LIMITED,ODA,"6,311,489.48",-6311489.48,0.01,8/12/2021,2022-07-14,USD,-6311489.48
50010010004770,OMNIBSIC BANK GHANA LIMITED,ODA,"37,535.20",-37535.2,0.3,8/12/2021,2022-07-14,EUR,-37362.53808
50010010004787,OMNIBSIC BANK GHANA LIMITED,ODA,"99,529.86",-99529.86,0.3,8/12/2021,2022-07-14,GBP,-83674.753302
50010010004794,COMMERCE AND MORTGAGE BANK (SL,ODA,"9,998.00",-9998.0,0.3,8/12/2021,2022-07-14,EUR,-9952.0092
50010010004800,COMMERCE AND MORTGAGE BANK (SL,ODA,"1,350.35",-1350.35,0.3,8/12/2021,2022-07-14,GBP,-1135.239245
50010010004855,TECHNOWELL GLOBAL CONCEPT LIMI,ODA,190,-190.0,0.01,9/17/2021,2022-07-14,USD,-190.0
50010010004879,LOTUS BANK,ODA,"2,226,629.68",-2226629.68,0.01,9/24/2021,2022-07-14,USD,-2226629.68
50010010004886,LOTUS BANK,ODA,313,-313.0,0.3,9/24/2021,2022-07-14,EUR,-311.5602
50010010004893,LOTUS BANK,ODA,"4,317.47",-4317.47,0.3,9/24/2021,2022-07-14,GBP,-3629.6970290000004
50010010004947,ORABANK SENEGAL,ODA,"25,616.63",-25616.63,0.01,10/21/2021,2022-07-14,USD,-25616.63
50010010004954,ACCESS BANK GUINEE SA,ODA,"6,278.41",-6278.41,0.3,10/25/2021,2022-07-14,EUR,-6249.529313999999
50010010004961,ACCESS BANK GUINEE SA,ODA,"903,323.64",-903323.64,0.01,10/25/2021,2022-07-14,USD,-903323.64
50010010004978,ORABANK NIGER,ODA,"148,754.14",-148754.14,0.01,10/25/2021,2022-07-14,USD,-148754.14
50010010005012,LOTUS BANK - FOREIGN OPERATING,ODA,"297,517.70",-297517.7,0.01,11/10/2021,2022-07-14,USD,-297517.7
50010010005029,LOTUS BANK - PROFIT/CHARGES AC,ODA,"1,205.00",-1205.0,0.01,11/10/2021,2022-07-14,USD,-1205.0
50010010005036,LOTUS BANK - NON OIL EXPORT DO,ODA,"1,577,457.46",-1577457.46,0.01,11/10/2021,2022-07-14,USD,-1577457.46
50010010005067,ZEN GLOBAL DMCC,ODA,"9,990.47",-9990.47,0.01,12/10/2021,2022-07-14,USD,-9990.47
50010010005098,GREENWICH MERCHANT BANK LOAN S,ODA,"5,400.10",-5400.1,0.01,12/15/2021,2022-07-14,USD,-5400.1
50010010005128,UNION BANCAIRE POUR LE COMMERC,ODA,"5,628,572.23",-5628572.23,0.01,1/21/2022,2022-07-14,USD,-5628572.23
50010010005159,FIDELITY BANK GHANA LIMITED,ODA,"14,300,000.00",-14300000.0,0,2/9/2022,2022-07-14,USD,-14300000.0
50010010005166,ACCESS BANK NIGERIA PLC,ODA,"42,854.28",-42854.28,0.3,3/21/2022,2022-07-14,EUR,-42657.150312
50010010005173,CONTINENTAL ENGINEERING (NIGER,ODA,"10,000.00",-10000.0,0.01,3/31/2022,2022-07-14,USD,-10000.0
50010020000170,3T OIL AND GAS SERVICES LLC,ODA,"2,308.00",-2308.0,0.01,7/1/2008,2022-07-14,USD,-2308.0
50010020001045,3T OIL & GAS SERV. LLC-DDA GBP,ODA,"3,081.24",-3081.24,0.3,7/1/2008,2022-07-14,GBP,-2590.398468
50010020001052,3T OIL & GAS SERV. LLC-DDA A/C,ODA,"1,079.14",-1079.14,0.3,7/1/2008,2022-07-14,EUR,-1074.175956
50010020003193,GEORGETOWN GLOBAL HEALTH LLC,ODA,"77,874.96",-77874.96,0.01,9/25/2019,2022-07-14,USD,-77874.96
50010030003179,ROYAL BLUE ENTERPRISE LIMTED,ODA,"98,989.25",-98989.25,0.01,9/9/2019,2022-07-14,USD,-98989.25
50010500000985,UNITED BANK FOR AFRICA PLC,ODA,"-55,386,219.97",55386219.97,7.1,7/1/2008,2022-07-14,USD,55386219.97
50010500001359,UNITED BANK  FOR AFRICA (UGAND,ODA,"24,691.96",-24691.96,0.01,10/15/2008,2022-07-14,USD,-24691.96
50010500001472,UNITED BANK FOR AFRICA CAMEROO,ODA,"1,678.28",-1678.28,0.01,8/28/2009,2022-07-14,USD,-1678.28
50010500001557,UNITED BANK FOR AFRICA (UBA) L,ODA,"3,294.13",-3294.13,0.01,12/9/2009,2022-07-14,USD,-3294.13
50010500001588,UNITED BANK FOR AFRICA ZAMBIA,ODA,"84,890.48",-84890.48,0.01,12/30/2009,2022-07-14,USD,-84890.48
50010500001625,UBA KENYA BANK LIMITED,ODA,"146,508.08",-146508.08,0.01,4/29/2010,2022-07-14,USD,-146508.08
50010500001717,UNITED BANK FOR AFRICA SENEGAL,ODA,"29,691.82",-29691.82,0.01,12/8/2010,2022-07-14,USD,-29691.82
50010500002202,UBA TANZANIA,ODA,"32,804.00",-32804.0,0.01,11/22/2017,2022-07-14,USD,-32804.0
50010500002219,UBA GHANA,ODA,"875,890.56",-875890.56,0.01,12/18/2017,2022-07-14,USD,-875890.56
50010500002226,UBA SIERRA LEONE,ODA,685,-685.0,0.01,12/27/2017,2022-07-14,USD,-685.0
50010500002240,UNITED BANK FOR AFRICA MOZAMBI,ODA,"83,726.73",-83726.73,0.01,1/16/2018,2022-07-14,USD,-83726.73
50010500002264,UNITEDBANK FOR AFRICA - DEMOCR,ODA,"250,271.88",-250271.88,0.01,2/13/2018,2022-07-14,USD,-250271.88
50010500002981,UNITED BANK FOR AFRICA SENEGAL,ODA,"51,659.24",-51659.24,0,5/9/2019,2022-07-14,EUR,-51421.607496
50010500003322,ACCESS MICROFINANCE BANK TANZA,ODA,"149,823.95",-149823.95,0.01,10/29/2019,2022-07-14,USD,-149823.95
50010500003346,ACCESS MICROFINANCE BANK TANZA,ODA,"2,620.00",-2620.0,0.3,10/30/2019,2022-07-14,EUR,-2607.948
50012150000842,UNITED BANK FOR AFRICA -  CASH,CAA,"16,767,341.82",-16767341.82,0.06,7/1/2008,2022-07-14,USD,-16767341.82
50012150001373,STERLING BANK PLC,CAA,"212,047.24",-212047.24,0.01,11/17/2008,2022-07-14,USD,-212047.24
50012150002110,WEMA BANK PLC. CASH COLL,CAA,"71,737.48",-71737.48,0.01,9/21/2016,2022-07-14,USD,-71737.48
50012150002257,POLARIS - CASH COLL,CAA,"59,371.13",-59371.13,0.01,2/8/2018,2022-07-14,USD,-59371.13
50012150002332,NOVA MERCHANT BANK - CASH COLL,CAA,"285,894.47",-285894.47,0.1,3/29/2018,2022-07-14,USD,-285894.47
50012150002783,FBNQUEST MERCHANT BANK LIMITED,CAA,"70,853.77",-70853.77,0.1,10/26/2018,2022-07-14,USD,-70853.77
50012150002882,CASH COLLATERAL A/C FOR CORONA,CAA,"14,485.24",-14485.24,0.25,1/18/2019,2022-07-14,USD,-14485.24
50012150003063,SUNTRUST BANK NIGERIA LIMITED,CAA,"23,699.93",-23699.93,0,7/3/2019,2022-07-14,USD,-23699.93
50012150003858,TITAN BANK CSH CCOLL ACCOUNT,CAA,"88,246.61",-88246.61,0,4/17/2020,2022-07-14,USD,-88246.61
50012150003896,GLOBUS BANK LIMITED,CAA,"106,325.51",-106325.51,0,6/2/2020,2022-07-14,USD,-106325.51
50012150004565,GREENWICH MERCHANT BANK LIMITE,ODA,"1,489,999.38",-1489999.38,0.01,5/5/2021,2022-07-14,USD,-1489999.38
50012150004572,GREENWICH MERCHANT BANK LIMITE,ODA,"68,058.08",-68058.08,0.3,5/5/2021,2022-07-14,EUR,-67745.012832
50012150004862,SKYE BANK (SL) LIMITED- CASH C,CAA,"1,457,871.00",-1457871.0,0,9/20/2021,2022-07-14,USD,-1457871.0
50012150005050,LOTUS BANK - CASH COLLATERAL A,ODA,"833,611.31",-833611.31,0.01,11/10/2021,2022-07-14,USD,-833611.31
50012160000648,CELETRANS NIGERIA LIMITED,ODA,"737,208.46",-737208.46,0.01,7/1/2008,2022-07-14,USD,-737208.46
50012160001502,NIGERIAN AGIP OIL COMPANY LIMI,ODA,100.42,-100.42,0.01,10/23/2009,2022-07-14,USD,-100.42
50012160001519,3T WORLDWIDE QRI (NIGERIA) LIM,ODA,"1,579.85",-1579.85,0.01,11/6/2009,2022-07-14,USD,-1579.85
50012160001526,3T WORLDWIDE QRI (NIGERIA) LIM,ODA,"103,521.01",-103521.01,0.3,11/9/2009,2022-07-14,GBP,-87030.113107
50012160001533,3T WORLDWIDE QRI (NIGERIA) LIM,ODA,"26,984.32",-26984.32,0.3,11/9/2009,2022-07-14,EUR,-26860.192128
50012160001922,NNPC/NAOC JV CONS/DISB A/C-EBO,ODA,100.21,-100.21,0.01,9/21/2012,2022-07-14,USD,-100.21
50012200002042,UNITED BANK  FOR AFRICA (UGAND,CAA,"10,000.00",-10000.0,0.01,8/13/2013,2022-07-14,USD,-10000.0
50012500000471,UNITED BANK FOR AFRICA - FEM A,ODA,"-11,547,798.53",11547798.53,7.1,7/1/2008,2022-07-14,USD,11547798.53
50012500002103,UBA FEM A/C EURO,ODA,"139,674.95",-139674.95,0.3,8/15/2016,2022-07-14,EUR,-139032.44523
50013000001274,FCMB CURRENT A/C USD,ODA,"23,620.41",-23620.41,0,7/1/2008,2022-07-14,USD,-23620.41
50017000001021,CELETRANS NIG. LTD.- DDA A/C E,ODA,"50,558.32",-50558.32,0.3,7/1/2008,2022-07-14,EUR,-50325.751727999996
50017000001038,CELETRANS NIG. LTD. - DDA GBP,ODA,"19,102.41",-19102.41,0.3,7/1/2008,2022-07-14,GBP,-16059.396087
50017150000259,STERLING BANK PLC - DOM (USD),ODA,"646,967.96",-646967.96,0.01,7/1/2008,2022-07-14,USD,-646967.96
50017150000408,POLARIS BANK PLC,ODA,"281,065.89",-281065.89,0.01,7/1/2008,2022-07-14,USD,-281065.89
50017150001267,ACCESS BANK NIG. PLC A/C 2,ODA,"3,019,603.12",-3019603.12,0,7/1/2008,2022-07-14,USD,-3019603.12
50017150001755,WEMA BANK PLC.,ODA,"157,409.21",-157409.21,0,9/28/2011,2022-07-14,USD,-157409.21
50017150002141,OANDO TRADING DMCC,ODA,"30,383.18",-30383.18,0.01,7/3/2017,2022-07-14,USD,-30383.18
50017150002189,CORONATION MERCHANT BANK,ODA,"148,067.82",-148067.82,0,10/30/2017,2022-07-14,USD,-148067.82
50017150002271,NOVA MERCHANT BANK - USD MAIN,ODA,"26,503.19",-26503.19,0.11,2/26/2018,2022-07-14,USD,-26503.19
50017150002301,NOVA MERCHANT BANK,ODA,"5,206,095.15",-5206095.15,0.3,3/9/2018,2022-07-14,EUR,-5182147.11231
50017150002318,NOVA MERCHANT BANK,ODA,"4,727.48",-4727.48,0.3,3/9/2018,2022-07-14,GBP,-3974.3924359999996
50017150002363,NOVA MERCHANT BANK - INT ACC,ODA,"4,480.46",-4480.46,0.11,3/29/2018,2022-07-14,USD,-4480.46
50017150002417,NOVA MERCHANT BANK - EXPORT PR,ODA,"607,253.42",-607253.42,0.11,3/30/2018,2022-07-14,USD,-607253.42
50017150002424,NOVA MERCHANT BANK - EUR MAIN,ODA,"2,213.90",-2213.9,0.3,4/12/2018,2022-07-14,EUR,-2203.71606
50017150002431,NOVA MERCHANT BANK - GBP MAIN,ODA,302.3,-302.3,0.3,4/12/2018,2022-07-14,GBP,-254.14361000000002
50017150002448,NOVA MERCHANT BANK - USD DOM A,ODA,"1,349,961.17",-1349961.17,0.11,4/12/2018,2022-07-14,USD,-1349961.17
50017150002455,FBNQUEST MECHANT BANK LIMITED,ODA,"455,984.03",-455984.03,0,5/22/2018,2022-07-14,USD,-455984.03
50017150002790,CORONATION MERCHANT BANK EXPOR,ODA,"4,331,312.61",-4331312.61,0,11/9/2018,2022-07-14,USD,-4331312.61
50017150003018,FBNQUEST MB EXPORT PROCEED ACC,ODA,631.6,-631.6,0,5/22/2019,2022-07-14,USD,-631.6
50017150003049,UNITY BANK PLC,ODA,"153,795.18",-153795.18,0.01,7/3/2019,2022-07-14,USD,-153795.18
50017150003070,UNITY BANK PLC,ODA,68.46,-68.46,0.3,7/17/2019,2022-07-14,EUR,-68.145084
50017150003087,UNITY BANK PLC,ODA,"30,553.32",-30553.32,0.3,7/17/2019,2022-07-14,GBP,-25686.176124
50017150003094,CARL BANK LIMITED,ODA,0.02,-0.02,0.01,7/22/2019,2022-07-14,USD,-0.02
50017150003117,TITAN TRUST BANK LIMITED,ODA,"3,624,827.17",-3624827.17,0.01,8/6/2019,2022-07-14,USD,-3624827.17
50017150003285,FIDELITY BANK PLC TRADING ACCO,ODA,"118,439.40",-118439.4,0.01,10/11/2019,2022-07-14,USD,-118439.4
50017150003360,HERITAGE BANK PLC TRADING ACCO,ODA,"159,784.75",-159784.75,0.01,11/8/2019,2022-07-14,USD,-159784.75
50017150003377,ZAMBIA INDUSTRIAL COMMERCIAL B,ODA,"2,150,782.74",-2150782.74,0.01,11/8/2019,2022-07-14,USD,-2150782.74
50017150003384,ZAMBIA INDUSTRIAL COMMERCIAL B,ODA,"22,941.72",-22941.72,0.3,11/12/2019,2022-07-14,EUR,-22836.188088
50017150003391,ZAMBIA INDUSTRIAL COMMERCIAL B,ODA,"24,332.07",-24332.07,0.3,11/12/2019,2022-07-14,GBP,-20455.971249
50017150003414,MYBUCKS BANKING CORPORATION,ODA,"158,297.62",-158297.62,0.01,11/15/2019,2022-07-14,USD,-158297.62
50017150003421,MYBUCKS BANKING CORPORATION,ODA,"10,800.57",-10800.57,0.3,11/15/2019,2022-07-14,EUR,-10750.887378
50017150003438,MYBUCKS BANKING CORPORATION,ODA,69.62,-69.62,0.3,11/15/2019,2022-07-14,GBP,-58.529534000000005
50017150003445,TAJBANK LIMITED,ODA,"465,169.99",-465169.99,0.01,11/21/2019,2022-07-14,USD,-465169.99
50017150003452,TITAN TRUST BANK LIMITED USD T,ODA,"1,280,009.11",-1280009.11,0.01,12/9/2019,2022-07-14,USD,-1280009.11
50017150003469,TITAN TRUST BANK LIMITED - TRA,ODA,"1,043,762.07",-1043762.07,0.01,12/9/2019,2022-07-14,USD,-1043762.07
50017150003520,TAJBANK LIMITED PROFIT/CHARGE,ODA,"2,582.91",-2582.91,0.01,12/10/2019,2022-07-14,USD,-2582.91
50017150003544,TAJBANK LIMITED EXPORT DOMICIL,ODA,"1,093,508.61",-1093508.61,0.01,12/10/2019,2022-07-14,USD,-1093508.61
50017150003582,HERITAGE BANK PLC TRADING ACCO,ODA,"49,984.95",-49984.95,0.3,1/7/2020,2022-07-14,GBP,-42022.347465
50017150003605,GLOBUS BANK LIMITED,ODA,"10,980.00",-10980.0,0.3,1/30/2020,2022-07-14,GBP,-9230.886
50017150003612,GLOBUS BANK LIMITED,ODA,"2,665.98",-2665.98,0.3,1/30/2020,2022-07-14,EUR,-2653.716492
50017150003629,GLOBUS BANK LIMITED WIRE CLEAR,ODA,"831,067.37",-831067.37,0.01,2/3/2020,2022-07-14,USD,-831067.37
50017150003636,GLOBUS BANK LIMITED WIRE CLEAR,ODA,"174,984.32",-174984.32,0.3,2/3/2020,2022-07-14,GBP,-147109.317824
50017150003643,GLOBUS BANK LIMITED WIRE CLEAR,ODA,"6,282.00",-6282.0,0.3,2/3/2020,2022-07-14,EUR,-6253.1028
50017150003650,MOZA BANCO SA,ODA,"1,043,404.04",-1043404.04,0.01,2/3/2020,2022-07-14,USD,-1043404.04
50017150003674,NIGERIAN EXPORT IMPORT BANK,ODA,"100,012.04",-100012.04,0.01,2/18/2020,2022-07-14,USD,-100012.04
50017150003681,CORONATION MERCHANT- USD WIRE,ODA,"1,070,946.57",-1070946.57,0,2/19/2020,2022-07-14,USD,-1070946.57
50017150003698,HERITAGE BANK PLC EXPORT PROCE,ODA,"18,592.25",-18592.25,0,2/25/2020,2022-07-14,USD,-18592.25
50017150003704,TITAN BANK MASTERCARD SETTLEME,ODA,"31,118.34",-31118.34,0.01,2/26/2020,2022-07-14,USD,-31118.34
50017150003728,HERITAGE BANK PLC INTEREST AND,ODA,"27,792.77",-27792.77,0.01,3/11/2020,2022-07-14,USD,-27792.77
50017150003827,NOVA MERCHANT BANK WIRE CLEARI,ODA,"3,050,717.83",-3050717.83,0.01,4/3/2020,2022-07-14,USD,-3050717.83
50017150003834,TITAN BANK WIRE CLEARING,ODA,"404,814.14",-404814.14,0.01,4/3/2020,2022-07-14,USD,-404814.14
50017150003872,SUNTRUST BANK NIGERIA LIMITED,ODA,"3,258.83",-3258.83,0.3,5/29/2020,2022-07-14,GBP,-2739.698381
50017150003889,TITAN TRUST BANK LIMITED EXPOR,ODA,"55,974.69",-55974.69,0.01,6/1/2020,2022-07-14,USD,-55974.69
50017150003926,SUNTRUST BANK NIGERIA LIMITED,ODA,"50,995.77",-50995.77,0.3,6/5/2020,2022-07-14,EUR,-50761.18945799999
50017150003964,SUNTRUST BANK NIGERIA LIMITED,ODA,"77,868.59",-77868.59,0.01,6/23/2020,2022-07-14,USD,-77868.59
50017150003971,TAJBANK LIMITED FX TRADING,ODA,"60,576.98",-60576.98,0.3,6/26/2020,2022-07-14,GBP,-50927.067086
50017150003988,TAJBANK LIMITED FX TRADING,ODA,"16,905.65",-16905.65,0.01,6/26/2020,2022-07-14,USD,-16905.65
50017150003995,TAJBANK LIMITED FX TRADING,ODA,"5,225.00",-5225.0,0.3,6/26/2020,2022-07-14,EUR,-5200.965
50017150004046,TAJBANK LIMITED OPERATING ACCO,ODA,"8,474.47",-8474.47,0.3,6/26/2020,2022-07-14,GBP,-7124.486929
50017150004053,TAJBANK LIMITED OPERATING ACCO,ODA,"9,663.69",-9663.69,0.3,6/26/2020,2022-07-14,EUR,-9619.237026
50017150004114,SUNTRUST BANK NIGERIA LIMITED,ODA,13,-13.0,0.3,7/8/2020,2022-07-14,GBP,-10.9291
50017150004138,WEMA BANK PLC. EUR ACCOUNT,ODA,"3,031.97",-3031.97,0.3,7/29/2020,2022-07-14,EUR,-3018.0229379999996
50017150004244,FBNQUEST LOANS SETTLEMENT ACCO,ODA,"42,843.90",-42843.9,0,11/23/2020,2022-07-14,USD,-42843.9
50017150004480,WEMA BANK PLC. WIRE CLEARING,ODA,"1,120,702.68",-1120702.68,0.01,3/26/2021,2022-07-14,USD,-1120702.68
50017170000541,UNITED BANK FOR AFRICA PLC - F,ODA,"6,603,576.90",-6603576.9,0.01,7/1/2008,2022-07-14,USD,-6603576.9
50017170002936,UNITED BANK FOR AFRICA PLC- EX,ODA,"464,210,737.97",-464210737.97,0,1/29/2019,2022-07-14,USD,-464210737.97
50017200002462,CBN USD CURRENT ACCOUNT,ODA,"329,303,415.58",-329303415.58,0,6/13/2018,2022-07-14,USD,-329303415.58
50030030000541,ESCROW A/C - GBARAN UBIE PHASE,CAA,"2,169,968.84",-2169968.84,0.01,6/12/2014,2022-07-14,USD,-2169968.84
50030030000611,CHEVRON NIGERIA LIMITED (CNL),ODA,"5,610,938.61",-5610938.61,0,9/20/2017,2022-07-14,USD,-5610938.61
50030030000620,SHELL PETROLEUM DEV. CO. LTD.,ODA,"2,122,517.96",-2122517.96,0.01,9/22/2017,2022-07-14,USD,-2122517.96
50030070001373,NNPC - CARRY PROCEEDS A/C - GB,CAA,"547,834.00",-547834.0,0.01,11/20/2013,2022-07-14,USD,-547834.0
EUR50011213001,STANDARD CHARTERED BANK FRANKF,OAB,"-7,418,382.58",7418382.58,0,1/2/2014,2022-07-14,EUR,7384258.020132
